fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2011-12,1,Department of Agriculture and Agri-Food,1,Operating/Program,756690489,704941276
FY 2011-12,1,Department of Agriculture and Agri-Food,10,Grants & Contributions,459143202,359941850
FY 2011-12,1,Department of Agriculture and Agri-Food,5,Capital,34150756,28848626
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Canadian Cattlemen's Association Legacy Fund,4893823,4893823
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Canadian Pari-Mutuel Agency Revolving Fund,3922399,-253649.28
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Class contribution payments for Repositioning of the Canadian Beef and Cattle Industry,-466711,-466711.28
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Class grant payments for the Farm Income program,-80733,-80732.5
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Class grant payments for the Transitional Industry Support program,-63445,-63445.29
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contribution payments for the AgriInsurance program,571643883,571643882.9
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,230881403,230881402.8
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-202916,-202915.82
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management,-6139593,-6139592.81
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contributions for the transitional industry support program,-48088,-48088.18
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contributions in support of Business Risk Management Programs under the Agricultural Policy Framework - Province-Based Programs,-321817,-321817.47
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contributions in support of the Farm Income Payment,-50382,-50381.51
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contributions to a transition to future risk management programming,-44664,-44663.87
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Contributions to employee benefit plans,80766056,80766055.62
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Grant and Contribution Payments for the AgriInvest Program,248429161,248429161
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Grant and Contribution Payments for the AgriStability Program,289338103,289338103
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Grant payments for the AgriInvest Kickstart program,-537408,-537408
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-1732956,-1732955.83
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Grants in support of the Cost of Production Benefit,-5784,-5784.18
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Grants in support of the Grain and Oilseed Payment program,-33725,-33724.93
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Grants to agencies established under the Farm Products Agencies Act,600000,0
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Loan guarantees under the Canadian Agricultural Loans Act,141041,141041.2
FY 2011-12,1,Department of Agriculture and Agri-Food,S,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",44949155,44949154.58
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Payments in connection with the Farm Income Protection Act - Crop Insurance Program,-35769,-35769.32
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Payments in connection with the Farm Income Protection Act - Net Income Stabilization Account (NISA),-100533,-100532.86
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Payments in connection with the Farm Income Protection Act - Province-Based Programs,-531392,-531391.71
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Refunds of amounts credited to revenues in previous years,8359,8359.41
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,1,Department of Agriculture and Agri-Food,S,Spending of proceeds from the disposal of surplus Crown assets,5621093,3443918.48
FY 2011-12,2,House of Commons,5,Operating/Program,294169478,274982549
FY 2011-12,2,House of Commons,S,Contributions to employee benefit plans,35017888,35017888.27
FY 2011-12,2,House of Commons,S,Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account,117234469,117234468.5
FY 2011-12,10,Assisted Human Reproduction Agency of Canada,15,Operating/Program,10422425,3212347
FY 2011-12,10,Assisted Human Reproduction Agency of Canada,S,Contributions to employee benefit plans,251491,251490.68
FY 2011-12,12,Atlantic Canada Opportunities Agency,1,Operating/Program,88981325,83574012
FY 2011-12,12,Atlantic Canada Opportunities Agency,5,Grants & Contributions,243470120,236470120
FY 2011-12,12,Atlantic Canada Opportunities Agency,S,Contributions to employee benefit plans,10339813,10339812.9
FY 2011-12,12,Atlantic Canada Opportunities Agency,S,Refunds of amounts credited to revenues in previous years,54185,54184.72
FY 2011-12,12,Atlantic Canada Opportunities Agency,S,Salary and Motor Car Allowance,1500,1500.03
FY 2011-12,12,Atlantic Canada Opportunities Agency,S,Spending of proceeds from the disposal of surplus Crown assets,37830,14151.45
FY 2011-12,14,Atomic Energy of Canada Limited,15,Payments to Crown Corps,617143001,537031083
FY 2011-12,14,Atomic Energy of Canada Limited,S,Payments to Atomic Energy of Canada Limited,182000000,182000000
FY 2011-12,26,Canada Border Services Agency,10,Operating/Program,1677761089,1521118147
FY 2011-12,26,Canada Border Services Agency,15,Capital,239192416,122748593
FY 2011-12,26,Canada Border Services Agency,S,Contributions to employee benefit plans,191151942,191151941.7
FY 2011-12,26,Canada Border Services Agency,S,Refunds of amounts credited to revenues in previous years,91544,91543.76
FY 2011-12,26,Canada Border Services Agency,S,Spending of proceeds from the disposal of surplus Crown assets,354586,186724.19
FY 2011-12,29,Canada Council for the Arts,10,Payments to Crown Corps,181917817,181417816
FY 2011-12,39,Canada Industrial Relations Board,10,Operating/Program,13053388,12212298
FY 2011-12,39,Canada Industrial Relations Board,S,Contributions to employee benefit plans,1486626,1486626.01
FY 2011-12,39,Canada Industrial Relations Board,S,Spending of proceeds from the disposal of surplus Crown assets,919,0
FY 2011-12,42,Canada Mortgage and Housing Corporation,15,Payments to Crown Corps,2161923000,2048052949
FY 2011-12,42,Canada Mortgage and Housing Corporation,S,"Pursuant to Section 129 of the Economic Action Plan 2013 Act, No. 1, a payment to CHC to provide funding to Nunavut for housing in a sum not exceeding $30,000,000",205640,205640.32
FY 2011-12,44,Canada Post Corporation,15,Payments to Crown Corps,22210000,22210000
FY 2011-12,46,Canada Revenue Agency,1,Operating/Program,3388883997,3158001277
FY 2011-12,46,Canada Revenue Agency,5,Capital,79656435,51689472
FY 2011-12,46,Canada Revenue Agency,S,Children's special allowance payments,223545787,223545787
FY 2011-12,46,Canada Revenue Agency,S,Collection Agency Fees,3509,3509.29
FY 2011-12,46,Canada Revenue Agency,S,Contributions to employee benefit plans,456860340,456860340
FY 2011-12,46,Canada Revenue Agency,S,Court Awards,1366693,1366692.86
FY 2011-12,46,Canada Revenue Agency,S,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",213871447,213871447.1
FY 2011-12,46,Canada Revenue Agency,S,Losses on Foreign Exchange,249190,249189.54
FY 2011-12,46,Canada Revenue Agency,S,Payments under the Energy Costs Assistance Measures Act,1496,1496.06
FY 2011-12,46,Canada Revenue Agency,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,46,Canada Revenue Agency,S,Spending of proceeds from the disposal of surplus Crown assets,165406,165405.99
FY 2011-12,46,Canada Revenue Agency,S,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,245459473,245459472.6
FY 2011-12,47,Canada School of Public Service,40,Operating/Program,56799797,50373377
FY 2011-12,47,Canada School of Public Service,S,Contributions to employee benefit plans,11788861,11788861.36
FY 2011-12,47,Canada School of Public Service,S,Refunds of amounts credited to revenues in previous years,525616,525616.15
FY 2011-12,47,Canada School of Public Service,S,Spending of proceeds from the disposal of surplus Crown assets,11497,1300.34
FY 2011-12,47,Canada School of Public Service,S,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,91004028,63251671.57
FY 2011-12,51,Canadian Air Transport Security Authority,20,Payments to Crown Corps,582727000,515006000
FY 2011-12,52,Canadian Artists and Producers Professional Relations Tribunal,20,Operating/Program,2023420,1150256
FY 2011-12,52,Canadian Artists and Producers Professional Relations Tribunal,S,Contributions to employee benefit plans,132936,132935.83
FY 2011-12,53,Canadian Broadcasting Corporation,15,Payments to Crown Corps,1028047060,1028047060
FY 2011-12,53,Canadian Broadcasting Corporation,20,Payments to Crown Corps,4000000,4000000
FY 2011-12,53,Canadian Broadcasting Corporation,25,Payments to Crown Corps,102272000,102272000
FY 2011-12,55,Canadian Centre for Occupational Health and Safety,25,Operating/Program,5203781,4166331
FY 2011-12,55,Canadian Centre for Occupational Health and Safety,S,Contributions to employee benefit plans,1123993,1123993.09
FY 2011-12,58,Canadian Commercial Corporation,20,Payments to Crown Corps,15481540,15481540
FY 2011-12,61,Canadian Dairy Commission,15,Operating/Program,4479524,4479524
FY 2011-12,63,Impact Assessment Agency of Canada,15,Operating/Program,31959563,26426963
FY 2011-12,63,Impact Assessment Agency of Canada,S,Contributions to employee benefit plans,3131526,3131526.2
FY 2011-12,63,Impact Assessment Agency of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,963,0
FY 2011-12,65,Canadian Food Inspection Agency,20,Operating/Program,617230647,579207923
FY 2011-12,65,Canadian Food Inspection Agency,25,Capital,29208522,13755212
FY 2011-12,65,Canadian Food Inspection Agency,S,Collection Agency Fees,2382,2382.01
FY 2011-12,65,Canadian Food Inspection Agency,S,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",4223367,4223366.76
FY 2011-12,65,Canadian Food Inspection Agency,S,Contributions to employee benefit plans,84443586,84443585.93
FY 2011-12,65,Canadian Food Inspection Agency,S,Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act,58834871,55851348.69
FY 2011-12,65,Canadian Food Inspection Agency,S,Spending of proceeds from the disposal of surplus Crown assets,461653,212539.22
FY 2011-12,69,Canadian Grain Commission,30,Operating/Program,35237639,35237639
FY 2011-12,69,Canadian Grain Commission,S,Canadian Grain Commission Revolving Fund,38606742,-1098073.3
FY 2011-12,69,Canadian Grain Commission,S,Contributions to employee benefit plans,622222,622221.96
FY 2011-12,69,Canadian Grain Commission,S,Spending of proceeds from the disposal of surplus Crown assets,58224,58224.21
FY 2011-12,71,Canadian Human Rights Commission,10,Operating/Program,22895397,21457760
FY 2011-12,71,Canadian Human Rights Commission,S,Contributions to employee benefit plans,2804563,2804563.09
FY 2011-12,72,Canadian Human Rights Tribunal,15,Operating/Program,5237948,4901909
FY 2011-12,72,Canadian Human Rights Tribunal,S,Contributions to employee benefit plans,337885,337884.75
FY 2011-12,74,Canadian Institutes of Health Research,20,Operating/Program,55908451,51699069
FY 2011-12,74,Canadian Institutes of Health Research,25,Grants & Contributions,952647336,950729984
FY 2011-12,74,Canadian Institutes of Health Research,S,Contributions to employee benefit plans,6662339,6662339.49
FY 2011-12,74,Canadian Institutes of Health Research,S,Spending of proceeds from the disposal of surplus Crown assets,10692,0
FY 2011-12,76,Canadian Intergovernmental Conference Secretariat,5,Operating/Program,6639760,5227416
FY 2011-12,76,Canadian Intergovernmental Conference Secretariat,S,Contributions to employee benefit plans,333196,333196.08
FY 2011-12,76,Canadian Intergovernmental Conference Secretariat,S,Spending of proceeds from the disposal of surplus Crown assets,143,0
FY 2011-12,77,Canadian International Development Agency,25,Operating/Program,219963373,211491438
FY 2011-12,77,Canadian International Development Agency,30,Grants & Contributions,3319155947,3278588220
FY 2011-12,77,Canadian International Development Agency,S,Advance Market Commitment for Pneumococcal Vaccines,22926021,22926020.58
FY 2011-12,77,Canadian International Development Agency,S,Collection Agency Fees,258,258.11
FY 2011-12,77,Canadian International Development Agency,S,Contributions to employee benefit plans,26955888,26955887.59
FY 2011-12,77,Canadian International Development Agency,S,Losses on Foreign Exchange,20088735,20088734.94
FY 2011-12,77,Canadian International Development Agency,S,Payments to International Financial Institutions - Direct payments,285582426,285582426.3
FY 2011-12,77,Canadian International Development Agency,S,"Pursuant to section 24.1 of the Financial Administration Act, to forgive an amount up to $449,533,044 owed by the Government of the Islamic Republic of Pakistan, in relation to loan agreements, subject to the conditions described in the Memorandum of Understanding signed on April 20, 2006 between the Government of Canada and the Government of the Islamic Republic of Pakistan",384594510,81546151.07
FY 2011-12,77,Canadian International Development Agency,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,77,Canadian International Development Agency,S,Spending of proceeds from the disposal of surplus Crown assets,6874,6874.23
FY 2011-12,79,Canadian International Trade Tribunal,25,Operating/Program,11372978,9328928
FY 2011-12,79,Canadian International Trade Tribunal,S,Contributions to employee benefit plans,1199978,1199977.57
FY 2011-12,79,Canadian International Trade Tribunal,S,Spending of proceeds from the disposal of surplus Crown assets,334,0
FY 2011-12,81,Canadian Museum for Human Rights,30,Payments to Crown Corps,31798633,21798633
FY 2011-12,82,Canadian Museum of History,35,Payments to Crown Corps,65198130,65198130
FY 2011-12,84,Canadian Museum of Immigration at Pier 21,37,Payments to Crown Corps,9974440,9974440
FY 2011-12,84,Canadian Museum of Immigration at Pier 21,S,Payment to the Canadian Museum of Immigration at Pier 21,3850160,3850160
FY 2011-12,85,Canadian Museum of Nature,40,Payments to Crown Corps,28591766,28591766
FY 2011-12,86,Canadian Northern Economic Development Agency,27,Operating/Program,17237930,15399923
FY 2011-12,86,Canadian Northern Economic Development Agency,29,Grants & Contributions,32754757,31992730
FY 2011-12,86,Canadian Northern Economic Development Agency,S,Contributions to employee benefit plans,1207038,1207037.69
FY 2011-12,87,Canadian Nuclear Safety Commission,20,Operating/Program,43431269,39864044
FY 2011-12,87,Canadian Nuclear Safety Commission,S,Contributions to employee benefit plans,14459933,14459932.9
FY 2011-12,87,Canadian Nuclear Safety Commission,S,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,84003440,81733688.72
FY 2011-12,87,Canadian Nuclear Safety Commission,S,Spending of proceeds from the disposal of surplus Crown assets,24002,11498
FY 2011-12,93,Canadian Radio-television and Telecommunications Commission,45,Operating/Program,18803355,9245829
FY 2011-12,93,Canadian Radio-television and Telecommunications Commission,S,Contributions to employee benefit plans,6436734,6436733.5
FY 2011-12,93,Canadian Radio-television and Telecommunications Commission,S,Spending of proceeds from the disposal of surplus Crown assets,3822,387.37
FY 2011-12,94,Canadian Security Intelligence Service,20,Operating/Program,523634140,491177125
FY 2011-12,94,Canadian Security Intelligence Service,S,Contributions to employee benefit plans,48450953,48450953.24
FY 2011-12,94,Canadian Security Intelligence Service,S,Spending of proceeds from the disposal of surplus Crown assets,529542,257618.93
FY 2011-12,95,Canadian Space Agency,25,Operating/Program,253795707,247901692
FY 2011-12,95,Canadian Space Agency,30,Capital,118662700,102802846
