"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2013-14","Atlantic Canada Opportunities Agency","Main Estimates","Contributions to employee benefit plans",6939430
"FY 2013-14","Atomic Energy of Canada Limited","Main Estimates","Payments to Atomic Energy of Canada Limited",108919637
"FY 2013-14","Canada Border Services Agency","Main Estimates","Contributions to employee benefit plans",179164197
"FY 2013-14","Canada Industrial Relations Board","Main Estimates","Contributions to employee benefit plans",1637433
"FY 2013-14","Canada Revenue Agency","Main Estimates","Children's special allowance payments",238000000
"FY 2013-14","Canada Revenue Agency","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Canada Revenue Agency","Main Estimates","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",193779186
"FY 2013-14","Canada Revenue Agency","Main Estimates","Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",283000000
"FY 2013-14","Canada Revenue Agency","Main Estimates","Contributions to employee benefit plans",442552264
"FY 2013-14","Canada School of Public Service","Main Estimates","Contributions to employee benefit plans",6233121
"FY 2013-14","Canada School of Public Service","Main Estimates","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act",50000000
"FY 2013-14","Canadian Centre for Occupational Health and Safety","Main Estimates","Contributions to employee benefit plans",1117980
"FY 2013-14","Canadian Energy Regulator","Main Estimates","Contributions to employee benefit plans",7195012
"FY 2013-14","Canadian Food Inspection Agency","Main Estimates","Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act",53161000
"FY 2013-14","Canadian Food Inspection Agency","Main Estimates","Contributions to employee benefit plans",79025461
"FY 2013-14","Canadian Food Inspection Agency","Main Estimates","Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",3500000
"FY 2013-14","Canadian Grain Commission","Main Estimates","Contributions to employee benefit plans",585473
"FY 2013-14","Canadian High Arctic Research Station","Main Estimates","Contributions to employee benefit plans",142943
"FY 2013-14","Canadian Human Rights Commission","Main Estimates","Contributions to employee benefit plans",2600171
"FY 2013-14","Canadian Human Rights Tribunal","Main Estimates","Contributions to employee benefit plans",403636
"FY 2013-14","Canadian Institutes of Health Research","Main Estimates","Contributions to employee benefit plans",5934927
"FY 2013-14","Canadian Intergovernmental Conference Secretariat","Main Estimates","Contributions to employee benefit plans",437917
"FY 2013-14","Canadian International Development Agency","Main Estimates","Contributions to employee benefit plans",22881774
"FY 2013-14","Canadian International Development Agency","Main Estimates","Payments to International Financial Institutions - Direct payments",246000000
"FY 2013-14","Canadian International Development Agency","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Canadian International Trade Tribunal","Main Estimates","Contributions to employee benefit plans",1233346
"FY 2013-14","Canadian Northern Economic Development Agency","Main Estimates","Contributions to employee benefit plans",1023655
"FY 2013-14","Canadian Nuclear Safety Commission","Main Estimates","Contributions to employee benefit plans",4357801
"FY 2013-14","Canadian Nuclear Safety Commission","Main Estimates","Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act",93567046
"FY 2013-14","Canadian Radio-television and Telecommunications Commission","Main Estimates","Contributions to employee benefit plans",6803308
"FY 2013-14","Canadian Security Intelligence Service","Main Estimates","Contributions to employee benefit plans",48371070
"FY 2013-14","Canadian Space Agency","Main Estimates","Contributions to employee benefit plans",10747711
"FY 2013-14","Canadian Transportation Accident Investigation and Safety Board","Main Estimates","Contributions to employee benefit plans",3505079
"FY 2013-14","Canadian Transportation Agency","Main Estimates","Contributions to employee benefit plans",3507200
"FY 2013-14","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Main Estimates","Contributions to employee benefit plans",575348
"FY 2013-14","Communications Security Establishment","Main Estimates","Contributions to employee benefit plans",33389185
"FY 2013-14","Copyright Board","Main Estimates","Contributions to employee benefit plans",301313
"FY 2013-14","Correctional Service of Canada","Main Estimates","Contributions to employee benefit plans",233116766
"FY 2013-14","Courts Administration Service","Main Estimates","Contributions to employee benefit plans",7165435
"FY 2013-14","Department for Women and Gender Equality","Main Estimates","Contributions to employee benefit plans",1244686
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Canadian Cattlemen's Association Legacy Fund",2500000
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Contribution payments for the Agricultural Disaster Relief program and AgriRecovery",110800000
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Contribution payments for the AgriInsurance program",640800000
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Contributions to employee benefit plans",76634604
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Contributions in support of the Assistance to the Pork Industry Initiative",634500
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",94000000
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Loan guarantees under the Canadian Agricultural Loans Act",13111013
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Salary and Motor Car Allowance",79102
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Grants to agencies established under the Farm Products Agencies Act",100000
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Grant and Contribution Payments for the AgriStability Program",260300000
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Canadian Pari-Mutuel Agency Revolving Fund",-421000
"FY 2013-14","Department of Agriculture and Agri-Food","Main Estimates","Grant and Contribution Payments for the AgriInvest Program",143700000
